Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Gabriel,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,3,1,Sport,0,,Corinthians,2,0,Vasco,3,,Bragantino,1,2,Botafogo,0,,Atlético MG,53,38,13,14,11,49,42,7
Cruzeiro,2,1,Mirassol,5,,Ceará,1,1,Grêmio,0,,Juventude,1,1,Ceará,0,,Bahia,64,38,18,10,10,51,40,11
Grêmio,2,2,Atlético MG,0,,Botafogo,1,0,Juventude,3,,Palmeiras,0,0,Corinthians,0,,Botafogo,50,38,12,14,12,43,40,3
Fortaleza,0,0,Fluminense,0,,Fluminense,2,1,Bragantino,5,,Vasco,1,2,Sport,0,,Bragantino,50,38,12,14,12,46,47,-1
Juventude,2,1,Vitória,3,,Atlético MG,2,1,São Paulo,0,,Bahia,2,0,Mirassol,0,,Ceará,50,38,13,11,14,43,52,-9
Flamengo,2,0,Internacional,0,,Mirassol,2,2,Fortaleza,3,,São Paulo,1,1,Cruzeiro,5,,Corinthians,60,38,14,18,6,43,30,13
Palmeiras,1,1,Botafogo,3,,Internacional,2,1,Cruzeiro,3,,Grêmio,1,3,Flamengo,4,,Cruzeiro,74,38,21,11,6,63,33,30
Vasco,1,2,Santos,0,,Vitória,0,2,Flamengo,3,,Fluminense,2,2,Santos,0,,Flamengo,109,38,36,1,1,90,6,84
Bahia,1,0,Corinthians,0,,Sport,1,1,Palmeiras,0,,Fortaleza,1,1,Internacional,3,,Fluminense,38,38,8,14,16,39,49,-10
Bragantino,1,0,Ceará,0,,Santos,1,1,Bahia,3,,Atlético MG,2,0,Vitória,0,,Fortaleza,33,38,5,18,15,35,53,-18
,,,,,,,,,,,,,,,,,,Grêmio,42,38,9,15,14,42,50,-8
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,54,38,13,15,10,48,43,5
Ceará,2,1,Vasco,5,,Corinthians,2,0,Sport,3,,Internacional,2,0,Juventude,4,,Juventude,37,37,9,10,18,35,61,-26
Botafogo,1,0,São Paulo,0,,Vasco,0,2,Flamengo,0,,Mirassol,1,1,Atlético MG,3,,Mirassol,58,38,16,10,12,49,47,2
Mirassol,1,1,Grêmio,0,,Grêmio,0,2,Internacional,0,,Ceará,2,1,São Paulo,0,,Palmeiras,54,38,12,18,8,42,37,5
Sport,2,0,Bragantino,0,,Juventude,2,1,Mirassol,0,,Sport,2,2,Fortaleza,3,,Santos,44,38,10,14,14,35,46,-11
Corinthians,2,1,Fluminense,0,,São Paulo,1,0,Santos,4,,Botafogo,2,1,Fluminense,3,,São Paulo,53,38,15,8,15,36,38,-2
Internacional,2,0,Palmeiras,0,,Atlético MG,2,0,Botafogo,3,,Flamengo,2,0,Corinthians,3,,Sport,23,38,4,11,23,29,63,-34
Flamengo,3,0,Juventude,3,,Fluminense,2,1,Vitória,0,,Palmeiras,1,1,Bahia,0,,Vasco,36,38,8,12,18,39,53,-14
Santos,2,1,Atlético MG,3,,Fortaleza,1,1,Palmeiras,0,,Cruzeiro,2,1,Vasco,4,,Vitória,34,38,9,7,22,32,59,-27
Vitória,2,1,Fortaleza,5,,Bragantino,1,1,Cruzeiro,0,,Vitória,1,1,Grêmio,5,,,,,,,,,,
Cruzeiro,1,2,Bahia,0,,Bahia,2,1,Ceará,4,,Santos,1,1,Bragantino,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Classificação Gabriel,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Rodada 7,,,,Acertos,,Rodada 8,,,,Acertos,,Rodada 9,,,,Acertos,1,Flamengo,109,38,36,1,1,90,6,84
São Paulo,2,1,Fortaleza,0,,Fortaleza,3,0,Juventude,3,,Ceará,,,Sport,0,2,Cruzeiro,74,38,21,11,6,63,33,30
Fluminense,1,1,Sport,0,,Mirassol,1,1,Corinthians,0,,Vasco,1,1,Fortaleza,0,3,Bahia,64,38,18,10,10,51,40,11
Corinthians,1,1,Internacional,0,,Grêmio,1,0,Bragantino,0,,São Paulo,2,1,Grêmio,5,4,Corinthians,60,38,14,18,6,43,30,13
Ceará,2,1,Vitória,4,,Vitória,2,0,Vasco,3,,Corinthians,2,0,Santos,3,5,Mirassol,58,38,16,10,12,49,47,2
Bahia,2,1,Botafogo,4,,Flamengo,2,0,Bahia,3,,Bahia,2,0,Vitória,3,6,Internacional,54,38,13,15,10,48,43,5
Vasco,0,2,Palmeiras,3,,Sport,1,1,Cruzeiro,0,,Juventude,2,1,Fluminense,0,7,Palmeiras,54,38,12,18,8,42,37,5
Grêmio,1,1,Santos,0,,Palmeiras,0,0,São Paulo,0,,Flamengo,2,0,Botafogo,0,8,São Paulo,53,38,15,8,15,36,38,-2
Cruzeiro,0,1,Flamengo,0,,Atlético MG,2,1,Fluminense,4,,Bragantino,1,1,Palmeiras,0,9,Atlético MG,53,38,13,14,11,49,42,7
Bragantino,2,1,Mirassol,4,,Botafogo,2,1,Internacional,3,,Cruzeiro,2,1,Atlético MG,0,10,Ceará,50,38,13,11,14,43,52,-9
Juventude,1,1,Atlético MG,0,,Santos,2,1,Ceará,0,,Internacional,2,0,Mirassol,0,11,Botafogo,50,38,12,14,12,43,40,3
,,,,,,,,,,,,,,,,,12,Bragantino,50,38,12,14,12,46,47,-1
Rodada 10,,,,Acertos,,Rodada 11,,,,Acertos,,Rodada 12,,,,Acertos,13,Santos,44,38,10,14,14,35,46,-11
Fluminense,1,1,Vasco,0,,Bahia,1,0,São Paulo,4,,Bragantino,2,0,Bahia,0,14,Grêmio,42,38,9,15,14,42,50,-8
São Paulo,2,1,Mirassol,0,,Vasco,1,1,Bragantino,0,,Vitória,0,3,Cruzeiro,0,15,Fluminense,38,38,8,14,16,39,49,-10
Atlético MG,0,0,Corinthians,5,,Mirassol,2,1,Sport,4,,Fortaleza,1,1,Santos,0,16,Juventude,37,37,9,10,18,35,61,-26
Grêmio,1,1,Bahia,0,,Santos,1,1,Botafogo,0,,Grêmio,1,2,Corinthians,0,17,Vasco,36,38,8,12,18,39,53,-14
Palmeiras,0,2,Flamengo,5,,Juventude,2,1,Grêmio,0,,São Paulo,2,1,Vasco,0,18,Vitória,34,38,9,7,22,32,59,-27
Sport,2,2,Internacional,3,,Flamengo,3,0,Fortaleza,3,,Atlético MG,4,3,Internacional,3,19,Fortaleza,33,38,5,18,15,35,53,-18
Vitória,1,0,Santos,0,,Corinthians,2,0,Vitória,0,,Botafogo,1,1,Mirassol,3,20,Sport,23,38,4,11,23,29,63,-34
Fortaleza,1,1,Cruzeiro,0,,Ceará,2,2,Atlético MG,0,,Palmeiras,2,0,Juventude,3,,,,,,,,,,
Bragantino,3,0,Juventude,3,,Cruzeiro,2,1,Palmeiras,5,,Fluminense,2,1,Ceará,4,,,,,,,,,,
Botafogo,3,0,Ceará,3,,Internacional,2,0,Fluminense,0,,Sport,,,Flamengo,0,,,,,,,,LEGENDA,,
,,,,,,,,,,,,,,,,,,,,,,,,,Campeão,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Libertadores,
Flamengo,2,0,São Paulo,5,,Palmeiras,3,1,Mirassol,0,,Fortaleza,1,1,Bahia,5,,,,,,,,,Pré Libertadores,
Internacional,2,0,Vitória,3,,Ceará,2,2,Corinthians,0,,Vasco,2,1,Grêmio,0,,,,,,,,,Sul Americana,
Vasco,2,1,Botafogo,0,,Santos,0,3,Flamengo,0,,Mirassol,2,1,Santos,3,,,,,,,,,Rebaixados,
Bahia,2,1,Atlético MG,5,,Botafogo,3,1,Vitória,0,,São Paulo,1,0,Corinthians,3,,,,,,,,,,
Corinthians,1,1,Bragantino,0,,Bragantino,1,0,São Paulo,0,,Internacional,1,2,Ceará,0,,,,,,,,,,
Cruzeiro,2,0,Grêmio,3,,Fluminense,1,2,Cruzeiro,3,,Cruzeiro,3,1,Juventude,3,,,,,,,,,,
Fortaleza,2,2,Ceará,0,,Grêmio,2,0,Fortaleza,3,,Vitória,1,1,Bragantino,0,,,,,,,,,,
Juventude,2,1,Sport,3,,Juventude,2,1,Vasco,3,,Palmeiras,1,1,Atlético MG,0,,,,,,,,,,
Mirassol,2,1,Fluminense,5,,Atlético MG,2,0,Sport,4,,Sport,0,0,Botafogo,0,,,,,,,,,,
Santos,,,Palmeiras,0,,Bahia,2,0,Internacional,3,,Flamengo,2,0,Fluminense,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,1,Palmeiras,0,,Botafogo,1,1,Corinthians,5,,Sport,1,1,Bahia,3,,,,,,,,,,
Ceará,1,0,Mirassol,0,,Fortaleza,1,1,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,1,1,Cruzeiro,3,,Mirassol,1,0,Vitória,0,,Fluminense,2,1,Grêmio,4,,,,,,,,,,
Santos,0,2,Internacional,3,,Sport,1,0,Santos,0,,Botafogo,1,1,Cruzeiro,0,,,,,,,,,,
Bragantino,1,2,Flamengo,5,,Palmeiras,1,0,Grêmio,5,,Corinthians,1,0,Fortaleza,0,,,,,,,,,,
Vitória,1,0,Sport,0,,Cruzeiro,2,0,Ceará,0,,Atlético MG,1,2,Bragantino,0,,,,,,,,,,
Juventude ,0,0,São Paulo,0,,São Paulo,1,0,Fluminense,3,,Ceará,0,3,Flamengo,0,,,,,,,,,,
Grêmio,1,1,Botafogo,5,,Bahia,3,0,Juventude,5,,Vitória,0,2,Palmeiras,0,,,,,,,,,,
Vasco,2,1,Bahia,3,,Internacional,1,1,Vasco,5,,Internacional,1,1,São Paulo,0,,,,,,,,,,
Atlético MG,,,Fortaleza,0,,Flamengo,2,0,Atlético MG,3,,Santos,1,1,Juventude,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,4,0,Mirassol,3,,Fluminense,1,1,Fortaleza,0,,Bragantino,1,0,Fluminense,3,,,,,,,,,,
São Paulo,2,0,Vitória,5,,Ceará,2,1,Bragantino,4,,Cruzeiro,2,1,Internacional,5,,,,,,,,,,
Bragantino,3,1,Internacional,0,,Vitória,2,1,Juventude,0,,Grêmio,2,1,Ceará,0,,,,,,,,,,
Fortaleza,1,1,Botafogo,0,,Sport,1,2,São Paulo,0,,Vasco,1,1,Corinthians,0,,,,,,,,,,
Bahia,3,1,Fluminense,0,,Corinthians,1,1,Bahia,0,,Bahia,2,0,Santos,5,,,,,,,,,,
Vasco,0,0,Atlético MG,3,,Santos,2,0,Vasco,0,,Fortaleza,1,2,Mirassol,4,,,,,,,,,,
Palmeiras,1,0,Ceará,4,,Atlético MG,2,1,Grêmio,0,,Juventude,2,1,Botafogo,0,,,,,,,,,,
