Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Jonatha,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,3,0,Sport,0,,Corinthians,2,0,Vasco,3,,Bragantino,0,1,Botafogo,0,,Atlético MG,38,38,8,14,16,44,53,-9
Cruzeiro,2,0,Mirassol,3,,Ceará,1,2,Grêmio,0,,Juventude,2,2,Ceará,0,,Bahia,51,38,13,12,13,41,39,2
Grêmio,2,2,Atlético MG,0,,Botafogo,3,1,Juventude,4,,Palmeiras,2,1,Corinthians,3,,Botafogo,75,38,20,15,3,63,33,30
Fortaleza,1,1,Fluminense,0,,Fluminense,2,0,Bragantino,3,,Vasco,2,1,Sport,3,,Bragantino,45,38,12,9,17,41,52,-11
Juventude,1,0,Vitória,3,,Atlético MG,1,1,São Paulo,3,,Bahia,3,1,Mirassol,0,,Ceará,44,38,11,11,16,40,52,-12
Flamengo,2,1,Internacional,0,,Mirassol,0,1,Fortaleza,0,,São Paulo,2,0,Cruzeiro,0,,Corinthians,53,38,13,14,11,53,45,8
Palmeiras,1,2,Botafogo,0,,Internacional,1,0,Cruzeiro,3,,Grêmio,1,1,Flamengo,0,,Cruzeiro,74,38,22,8,8,74,38,36
Vasco,0,0,Santos,0,,Vitória,0,3,Flamengo,3,,Fluminense,2,0,Santos,3,,Flamengo,99,38,31,6,1,92,26,66
Bahia,1,1,Corinthians,5,,Sport,0,2,Palmeiras,3,,Fortaleza,2,2,Internacional,3,,Fluminense,59,38,15,14,9,53,43,10
Bragantino,1,0,Ceará,0,,Santos,1,1,Bahia,3,,Atlético MG,3,1,Vitória,0,,Fortaleza,53,38,13,14,11,43,44,-1
,,,,,,,,,,,,,,,,,,Grêmio,36,38,8,12,18,36,52,-16
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,63,38,18,9,11,57,48,9
Ceará,2,1,Vasco,5,,Corinthians,2,0,Sport,3,,Internacional,3,0,Juventude,3,,Juventude,29,37,7,8,22,22,57,-35
Botafogo,1,1,São Paulo,3,,Vasco,1,3,Flamengo,0,,Mirassol,2,1,Atlético MG,0,,Mirassol,59,38,17,8,13,55,50,5
Mirassol,1,1,Grêmio,0,,Grêmio,1,2,Internacional,0,,Ceará,1,1,São Paulo,5,,Palmeiras,83,38,25,8,5,71,34,37
Sport,1,0,Bragantino,0,,Juventude,2,1,Mirassol,0,,Sport,0,2,Fortaleza,0,,Santos,35,38,9,8,21,34,54,-20
Corinthians,2,2,Fluminense,0,,São Paulo,2,0,Santos,3,,Botafogo,2,2,Fluminense,0,,São Paulo,51,38,13,12,13,43,42,1
Internacional,3,1,Palmeiras,0,,Atlético MG,1,1,Botafogo,0,,Flamengo,3,1,Corinthians,3,,Sport,10,38,1,7,30,19,74,-55
Flamengo,2,0,Juventude,3,,Fluminense,2,0,Vitória,0,,Palmeiras,1,0,Bahia,0,,Vasco,54,38,15,9,14,51,54,-3
Santos,2,1,Atlético MG,0,,Fortaleza,1,1,Palmeiras,0,,Cruzeiro,1,2,Vasco,0,,Vitória,26,38,6,8,24,21,61,-40
Vitória,0,2,Fortaleza,0,,Bragantino,2,2,Cruzeiro,0,,Vitória,0,1,Grêmio,0,,,,,,,,,,
Cruzeiro,2,1,Bahia,3,,Bahia,1,1,Ceará,0,,Santos,1,2,Bragantino,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Classificação Jonatha,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Rodada 7,,,,Acertos,,Rodada 8,,,,Acertos,,Rodada 9,,,,Acertos,1,Flamengo,99,38,31,6,1,92,26,66
São Paulo,1,1,Fortaleza,3,,Fortaleza,2,0,Juventude,3,,Ceará,2,0,Sport,5,2,Palmeiras,83,38,25,8,5,71,34,37
Fluminense,2,0,Sport,3,,Mirassol,1,1,Corinthians,0,,Vasco,1,3,Fortaleza,0,3,Botafogo,75,38,20,15,3,63,33,30
Corinthians,2,2,Internacional,0,,Grêmio,1,2,Bragantino,0,,São Paulo,1,1,Grêmio,0,4,Cruzeiro,74,38,22,8,8,74,38,36
Ceará,1,0,Vitória,5,,Vitória,2,2,Vasco,0,,Corinthians,3,0,Santos,3,5,Internacional,63,38,18,9,11,57,48,9
Bahia,1,1,Botafogo,0,,Flamengo,1,1,Bahia,0,,Bahia,1,0,Vitória,4,6,Mirassol,59,38,17,8,13,55,50,5
Vasco,0,2,Palmeiras,3,,Sport,1,3,Cruzeiro,3,,Juventude,2,1,Fluminense,0,7,Fluminense,59,38,15,14,9,53,43,10
Grêmio,2,1,Santos,4,,Palmeiras,1,1,São Paulo,0,,Flamengo,1,1,Botafogo,3,8,Vasco,54,38,15,9,14,51,54,-3
Cruzeiro,1,3,Flamengo,0,,Atlético MG,0,1,Fluminense,0,,Bragantino,0,1,Palmeiras,4,9,Corinthians,53,38,13,14,11,53,45,8
Bragantino,2,1,Mirassol,4,,Botafogo,1,2,Internacional,0,,Cruzeiro,1,2,Atlético MG,0,10,Fortaleza,53,38,13,14,11,43,44,-1
Juventude,2,1,Atlético MG,0,,Santos,0,1,Ceará,0,,Internacional,3,1,Mirassol,0,11,Bahia,51,38,13,12,13,41,39,2
,,,,,,,,,,,,,,,,,12,São Paulo,51,38,13,12,13,43,42,1
Rodada 10,,,,Acertos,,Rodada 11,,,,Acertos,,Rodada 12,,,,Acertos,13,Bragantino,45,38,12,9,17,41,52,-11
Fluminense,1,1,Vasco,0,,Bahia,2,0,São Paulo,3,,Bragantino,2,0,Bahia,0,14,Ceará,44,38,11,11,16,40,52,-12
São Paulo,2,1,Mirassol,0,,Vasco,2,1,Bragantino,0,,Vitória,0,3,Cruzeiro,0,15,Atlético MG,38,38,8,14,16,44,53,-9
Atlético MG,2,1,Corinthians,0,,Mirassol,2,0,Sport,3,,Fortaleza,1,1,Santos,0,16,Grêmio,36,38,8,12,18,36,52,-16
Grêmio,0,2,Bahia,0,,Santos,1,3,Botafogo,3,,Grêmio,1,0,Corinthians,0,17,Santos,35,38,9,8,21,34,54,-20
Palmeiras,1,1,Flamengo,0,,Juventude,1,0,Grêmio,0,,São Paulo,2,1,Vasco,0,18,Juventude,29,37,7,8,22,22,57,-35
Sport,0,2,Internacional,0,,Flamengo,3,0,Fortaleza,3,,Atlético MG,2,2,Internacional,0,19,Vitória,26,38,6,8,24,21,61,-40
Vitória,1,0,Santos,0,,Corinthians,2,0,Vitória,0,,Botafogo,3,0,Mirassol,0,20,Sport,10,38,1,7,30,19,74,-55
Fortaleza,2,2,Cruzeiro,0,,Ceará,1,1,Atlético MG,0,,Palmeiras,2,0,Juventude,3,,,,,,,,,,
Bragantino,3,1,Juventude,3,,Cruzeiro,2,2,Palmeiras,0,,Fluminense,2,1,Ceará,4,,,,,,,,LEGENDA,,
Botafogo,3,1,Ceará,3,,Internacional,2,1,Fluminense,0,,Sport,0,3,Flamengo,3,,,,,,,,,Campeão,
,,,,,,,,,,,,,,,,,,,,,,,,,Libertadores,
Rodada 13,,,,Acertos,,Rodada 14,,,,Acertos,,Rodada 15,,,,Acertos,,,,,,,,,Pré Libertadores,
Flamengo,4,1,São Paulo,3,,Palmeiras,2,0,Mirassol,0,,Fortaleza,1,0,Bahia,0,,,,,,,,,Sul Americana,
Internacional,2,0,Vitória,3,,Ceará,2,1,Corinthians,0,,Vasco,2,1,Grêmio,0,,,,,,,,,Rebaixados,
Vasco,0,1,Botafogo,3,,Santos,0,2,Flamengo,0,,Mirassol,2,1,Santos,3,,,,,,,,,,
Bahia,2,1,Atlético MG,5,,Botafogo,3,0,Vitória,0,,São Paulo,1,1,Corinthians,0,,,,,,,,,,
Corinthians,1,1,Bragantino,0,,Bragantino,2,1,São Paulo,0,,Internacional,2,0,Ceará,3,,,,,,,,,,
Cruzeiro,3,0,Grêmio,4,,Fluminense,2,2,Cruzeiro,0,,Cruzeiro,3,0,Juventude,3,,,,,,,,,,
Fortaleza,2,1,Ceará,0,,Grêmio,2,1,Fortaleza,5,,Vitória,0,1,Bragantino,0,,,,,,,,,,
Juventude,2,0,Sport,5,,Juventude,0,2,Vasco,0,,Palmeiras,3,1,Atlético MG,3,,,,,,,,,,
Mirassol,3,2,Fluminense,4,,Atlético MG,1,0,Sport,3,,Sport,0,2,Botafogo,3,,,,,,,,,,
Santos,1,2,Palmeiras,0,,Bahia,2,0,Internacional,3,,Flamengo,2,0,Fluminense,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 16,,,,Acertos,,Rodada 17,,,,Acertos,,Rodada 18,,,,Acertos,,,,,,,,,,
Fluminense,1,1,Palmeiras,0,,Botafogo,2,0,Corinthians,0,,Sport,1,1,Bahia,3,,,,,,,,,,
Ceará,2,1,Mirassol,0,,Fortaleza,1,2,Bragantino,0,,Mirassol,2,1,Vasco,4,,,,,,,,,,
Corinthians,0,2,Cruzeiro,0,,Mirassol,2,0,Vitória,0,,Fluminense,1,1,Grêmio,0,,,,,,,,,,
Santos,2,1,Internacional,0,,Sport,1,1,Santos,3,,Botafogo,2,1,Cruzeiro,0,,,,,,,,,,
Bragantino,1,1,Flamengo,0,,Palmeiras,1,0,Grêmio,5,,Corinthians,2,0,Fortaleza,0,,,,,,,,,,
Vitória,1,0,Sport,0,,Cruzeiro,4,0,Ceará,0,,Atlético MG,3,0,Bragantino,3,,,,,,,,,,
Juventude ,1,3,São Paulo,3,,São Paulo,1,1,Fluminense,0,,Ceará,0,2,Flamengo,0,,,,,,,,,,
Grêmio,1,1,Botafogo,5,,Bahia,2,0,Juventude,3,,Vitória,0,1,Palmeiras,0,,,,,,,,,,
Vasco,2,1,Bahia,3,,Internacional,2,2,Vasco,3,,Internacional,2,1,São Paulo,0,,,,,,,,,,
Atlético MG,3,1,Fortaleza,0,,Flamengo,3,0,Atlético MG,3,,Santos,2,0,Juventude,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 19,,,,Acertos,,Rodada 20,,,,Acertos,,Rodada 21,,,,Acertos,,,,,,,,,,
Flamengo,2,1,Mirassol,5,,Fluminense,2,1,Fortaleza,5,,Bragantino,1,1,Fluminense,0,,,,,,,,,,
São Paulo,3,1,Vitória,4,,Ceará,2,0,Bragantino,3,,Cruzeiro,2,0,Internacional,3,,,,,,,,,,
Bragantino,2,0,Internacional,0,,Vitória,1,0,Juventude,0,,Grêmio,2,2,Ceará,3,,,,,,,,,,
Fortaleza,1,0,Botafogo,0,,Sport,1,1,São Paulo,3,,Vasco,2,1,Corinthians,0,,,,,,,,,,
Bahia,1,0,Fluminense,0,,Corinthians,1,1,Bahia,0,,Bahia,1,0,Santos,3,,,,,,,,,,
Vasco,2,0,Atlético MG,0,,Santos,2,0,Vasco,0,,Fortaleza,1,1,Mirassol,0,,,,,,,,,,
Palmeiras,2,0,Ceará,3,,Atlético MG,3,0,Grêmio,0,,Juventude,0,0,Botafogo,0,,,,,,,,,,
Cruzeiro,3,0,Santos,0,,Internacional,1,2,Flamengo,3,,São Paulo,2,0,Atlético MG,5,,,,,,,,,,
Grêmio,2,0,Sport,0,,Botafogo,2,1,Palmeiras,0,,Palmeiras,3,0,Sport,5,,,,,,,,,,
Juventude,1,1,Corinthians,0,,Mirassol,2,2,Cruzeiro,3,,Flamengo,4,0,Vitória,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 22,,,,Acertos,,Rodada 23,,,,Acertos,,Rodada 24,,,,Acertos,,,,,,,,,,
Ceará,2,1,Juventude,0,,Grêmio,2,2,Mirassol,0,,Vitória,1,1,Fluminense,0,,,,,,,,,,
Botafogo,2,0,Bragantino,3,,Fortaleza,1,0,Vitória,3,,Botafogo,2,1,Atlético MG,4,,,,,,,,,,
Cruzeiro,2,1,São Paulo,4,,Palmeiras,2,0,Internacional,3,,Ceará,1,1,Bahia,5,,,,,,,,,,
Flamengo,4,0,Grêmio,0,,Fluminense,2,0,Corinthians,0,,Palmeiras,2,0,Fortaleza,3,,,,,,,,,,
Santos,1,1,Fluminense,3,,Bragantino,3,1,Sport,0,,Mirassol,3,0,Juventude,3,,,,,,,,,,
Corinthians,2,0,Palmeiras,0,,Atlético MG,1,1,Santos,5,,Flamengo,4,1,Vasco,0,,,,,,,,,,
Mirassol,2,1,Bahia,3,,Juventude,0,2,Flamengo,5,,Internacional,2,1,Grêmio,0,,,,,,,,,,
Vitória,1,1,Atlético MG,0,,São Paulo,1,1,Botafogo,0,,Sport,2,2,Corinthians,0,,,,,,,,,,
Internacional,3,2,Fortaleza,4,,Vasco,1,0,Ceará,0,,Santos,0,1,São Paulo,0,,,,,,,,,,
Sport,2,2,Vasco,0,,Bahia,1,3,Cruzeiro,3,,Cruzeiro,3,0,Bragantino,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodada 25,,,,Acertos,,Rodada 26,,,,Acertos,,Rodada 27,,,,Acertos,,,,,,,,,,
