Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Kelder,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,2,1,Sport,0,,Corinthians,4,0,Vasco,3,,Bragantino,0,1,Botafogo,0,,Atlético MG,41,38,10,11,17,31,48,-17
Cruzeiro,1,0,Mirassol,4,,Ceará,0,0,Grêmio,0,,Juventude,0,2,Ceará,0,,Bahia,63,38,18,9,11,55,41,14
Grêmio,0,0,Atlético MG,0,,Botafogo,1,0,Juventude,3,,Palmeiras,2,1,Corinthians,3,,Botafogo,69,38,20,9,9,54,43,11
Fortaleza,3,2,Fluminense,3,,Fluminense,0,1,Bragantino,0,,Vasco,1,1,Sport,0,,Bragantino,58,38,15,13,10,44,38,6
Juventude,0,1,Vitória,0,,Atlético MG,2,2,São Paulo,3,,Bahia,2,1,Mirassol,0,,Ceará,49,38,12,13,13,45,49,-4
Flamengo,3,1,Internacional,0,,Mirassol,0,4,Fortaleza,0,,São Paulo,2,0,Cruzeiro,0,,Corinthians,49,38,12,13,13,47,41,6
Palmeiras,2,0,Botafogo,0,,Internacional,3,1,Cruzeiro,3,,Grêmio,1,2,Flamengo,3,,Cruzeiro,77,38,23,8,7,63,46,17
Vasco,1,1,Santos,0,,Vitória,0,2,Flamengo,3,,Fluminense,2,1,Santos,4,,Flamengo,109,38,36,1,1,96,27,69
Bahia,0,0,Corinthians,3,,Sport,1,2,Palmeiras,5,,Fortaleza,1,2,Internacional,0,,Fluminense,58,38,15,13,10,49,41,8
Bragantino,0,0,Ceará,3,,Santos,1,1,Bahia,3,,Atlético MG,2,0,Vitória,0,,Fortaleza,43,38,11,10,17,36,44,-8
,,,,,,,,,,,,,,,,,,Grêmio,34,38,7,13,18,32,44,-12
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,58,38,16,10,12,41,37,4
Ceará,0,1,Vasco,0,,Corinthians,1,0,Sport,4,,Internacional,2,1,Juventude,3,,Juventude,19,37,5,4,28,20,56,-36
Botafogo,2,1,São Paulo,0,,Vasco,1,2,Flamengo,0,,Mirassol,2,2,Atlético MG,5,,Mirassol,63,38,20,3,15,58,50,8
Mirassol,1,2,Grêmio,0,,Grêmio,0,2,Internacional,0,,Ceará,2,1,São Paulo,0,,Palmeiras,87,38,28,3,7,60,31,29
