Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Paulo,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,2,0,Sport,0,,Corinthians,1,1,Vasco,0,,Bragantino,1,1,Botafogo,0,,Atlético MG,46,38,12,10,16,40,54,-14
Cruzeiro,1,2,Mirassol,0,,Ceará,1,2,Grêmio,0,,Juventude,2,1,Ceará,5,,Bahia,79,38,24,7,7,71,39,32
Grêmio,0,1,Atlético MG,0,,Botafogo,1,0,Juventude,3,,Palmeiras,2,2,Corinthians,0,,Botafogo,60,38,16,12,10,56,47,9
Fortaleza,1,1,Fluminense,0,,Fluminense,1,2,Bragantino,0,,Vasco,3,1,Sport,5,,Bragantino,46,38,11,13,14,37,46,-9
Juventude,2,1,Vitória,3,,Atlético MG,2,2,São Paulo,3,,Bahia,3,0,Mirassol,0,,Ceará,51,38,14,9,15,43,45,-2
Flamengo,3,1,Internacional,0,,Mirassol,0,2,Fortaleza,0,,São Paulo,1,2,Cruzeiro,0,,Corinthians,44,38,12,8,18,44,50,-6
Palmeiras,2,2,Botafogo,3,,Internacional,2,1,Cruzeiro,3,,Grêmio,1,2,Flamengo,3,,Cruzeiro,54,38,15,9,14,62,50,12
Vasco,1,2,Santos,0,,Vitória,0,3,Flamengo,3,,Fluminense,1,1,Santos,0,,Flamengo,114,38,38,0,0,119,20,99
Bahia,2,0,Corinthians,0,,Sport,1,1,Palmeiras,0,,Fortaleza,2,2,Internacional,3,,Fluminense,45,38,12,9,17,47,50,-3
Bragantino,1,3,Ceará,0,,Santos,1,3,Bahia,0,,Atlético MG,1,0,Vitória,0,,Fortaleza,38,38,8,14,16,39,55,-16
,,,,,,,,,,,,,,,,,,Grêmio,36,38,9,9,20,39,54,-15
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,64,38,19,7,12,55,42,13
Ceará,2,1,Vasco,5,,Corinthians,0,0,Sport,0,,Internacional,2,0,Juventude,4,,Juventude,51,37,16,3,18,35,54,-19
Botafogo,1,1,São Paulo,3,,Vasco,1,4,Flamengo,0,,Mirassol,2,1,Atlético MG,0,,Mirassol,61,38,18,7,13,53,45,8
Mirassol,1,0,Grêmio,3,,Grêmio,0,3,Internacional,0,,Ceará,1,1,São Paulo,5,,Palmeiras,35,38,5,20,13,45,58,-13
