Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Real,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,0,0,Sport,TRUE,,Corinthians,3,0,Vasco,TRUE,,Bragantino,1,0,Botafogo,TRUE,,Atlético MG,48,38,12,12,14,43,44,-1
Cruzeiro,2,1,Mirassol,TRUE,,Ceará,2,0,Grêmio,TRUE,,Juventude,2,1,Ceará,TRUE,,Bahia,60,38,17,9,12,50,46,4
Grêmio,2,1,Atlético MG,TRUE,,Botafogo,2,0,Juventude,TRUE,,Palmeiras,2,0,Corinthians,TRUE,,Botafogo,63,38,17,12,9,58,38,20
Fortaleza,2,0,Fluminense,TRUE,,Fluminense,2,1,Bragantino,TRUE,,Vasco,3,1,Sport,TRUE,,Bragantino,48,38,14,6,18,45,57,-12
Juventude,2,0,Vitória,TRUE,,Atlético MG,0,0,São Paulo,TRUE,,Bahia,1,1,Mirassol,TRUE,,Ceará,43,38,11,10,17,34,40,-6
Flamengo,1,1,Internacional,TRUE,,Mirassol,1,1,Fortaleza,TRUE,,São Paulo,1,1,Cruzeiro,TRUE,,Corinthians,47,38,12,11,15,42,47,-5
Palmeiras,0,0,Botafogo,TRUE,,Internacional,3,0,Cruzeiro,TRUE,,Grêmio,0,2,Flamengo,TRUE,,Cruzeiro,70,38,19,13,6,55,31,24
Vasco,2,1,Santos,TRUE,,Vitória,1,2,Flamengo,TRUE,,Fluminense,1,0,Santos,TRUE,,Flamengo,79,38,23,10,5,78,27,51
Bahia,1,1,Corinthians,TRUE,,Sport,1,2,Palmeiras,TRUE,,Fortaleza,0,0,Internacional,TRUE,,Fluminense,64,38,19,7,12,50,39,11
Bragantino,2,2,Ceará,TRUE,,Santos,2,2,Bahia,TRUE,,Atlético MG,2,2,Vitória,TRUE,,Fortaleza,43,38,11,10,17,43,58,-15
,,,,,,,,,,,,,,,,,,Grêmio,49,38,13,10,15,47,50,-3
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,44,38,11,11,16,45,58,-13
Ceará,2,1,Vasco,TRUE,,Corinthians,2,1,Sport,TRUE,,Internacional,3,1,Juventude,TRUE,,Juventude,35,38,9,8,21,35,69,-34
Botafogo,2,2,São Paulo,TRUE,,Vasco,0,0,Flamengo,TRUE,,Mirassol,2,2,Atlético MG,TRUE,,Mirassol,67,38,18,13,7,63,39,24
Mirassol,4,1,Grêmio,TRUE,,Grêmio,1,1,Internacional,TRUE,,Ceará,1,1,São Paulo,TRUE,,Palmeiras,76,38,23,7,8,66,33,33
Sport,0,1,Bragantino,TRUE,,Juventude,2,2,Mirassol,TRUE,,Sport,0,0,Fortaleza,TRUE,,Santos,47,38,12,11,15,45,50,-5
Corinthians,0,2,Fluminense,TRUE,,São Paulo,2,1,Santos,TRUE,,Botafogo,2,0,Fluminense,TRUE,,São Paulo,51,38,14,9,15,43,47,-4
Internacional,0,1,Palmeiras,TRUE,,Atlético MG,1,0,Botafogo,TRUE,,Flamengo,4,0,Corinthians,TRUE,,Sport,17,38,2,11,25,28,75,-47
Flamengo,6,0,Juventude,TRUE,,Fluminense,1,1,Vitória,TRUE,,Palmeiras,0,1,Bahia,TRUE,,Vasco,45,38,13,6,19,56,61,-5
Santos,2,0,Atlético MG,TRUE,,Fortaleza,1,2,Palmeiras,TRUE,,Cruzeiro,1,0,Vasco,TRUE,,Vitória,45,38,11,12,15,35,52,-17
Vitória,2,1,Fortaleza,TRUE,,Bragantino,1,0,Cruzeiro,TRUE,,Vitória,1,1,Grêmio,TRUE,,,,,,,,,,
Cruzeiro,3,0,Bahia,TRUE,,Bahia,1,0,Ceará,TRUE,,Santos,1,2,Bragantino,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Classificação Real,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
Rodada 7,,,,Acertos,,Rodada 8,,,,Acertos,,Rodada 9,,,,Acertos,1,Flamengo,79,38,23,10,5,78,27,51
São Paulo,0,0,Fortaleza,TRUE,,Fortaleza,5,0,Juventude,TRUE,,Ceará,2,0,Sport,TRUE,2,Palmeiras,76,38,23,7,8,66,33,33
Fluminense,2,1,Sport,TRUE,,Mirassol,2,1,Corinthians,TRUE,,Vasco,3,0,Fortaleza,TRUE,3,Cruzeiro,70,38,19,13,6,55,31,24
