Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Vaz,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,2,0,Sport,0,,Corinthians,2,0,Vasco,3,,Bragantino,0,1,Botafogo,0,,Atlético MG,60,38,16,12,10,51,35,16
Cruzeiro,4,0,Mirassol,3,,Ceará,1,1,Grêmio,0,,Juventude,0,2,Ceará,0,,Bahia,41,38,10,11,17,34,46,-12
Grêmio,0,1,Atlético MG,0,,Botafogo,2,1,Juventude,3,,Palmeiras,2,2,Corinthians,0,,Botafogo,95,38,29,8,1,68,24,44
Fortaleza,3,2,Fluminense,3,,Fluminense,1,0,Bragantino,4,,Vasco,2,1,Sport,3,,Bragantino,42,38,8,18,12,36,42,-6
Juventude,0,0,Vitória,0,,Atlético MG,2,2,São Paulo,3,,Bahia,3,0,Mirassol,0,,Ceará,54,38,13,15,10,46,44,2
Flamengo,2,1,Internacional,0,,Mirassol,0,1,Fortaleza,0,,São Paulo,0,0,Cruzeiro,3,,Corinthians,60,38,17,9,12,49,38,11
Palmeiras,1,1,Botafogo,3,,Internacional,0,1,Cruzeiro,0,,Grêmio,0,1,Flamengo,3,,Cruzeiro,69,38,19,12,7,72,39,33
Vasco,1,2,Santos,0,,Vitória,1,2,Flamengo,5,,Fluminense,1,1,Santos,0,,Flamengo,83,38,25,8,5,80,35,45
Bahia,1,0,Corinthians,0,,Sport,1,3,Palmeiras,3,,Fortaleza,0,1,Internacional,0,,Fluminense,58,38,14,16,8,42,33,9
Bragantino,0,0,Ceará,3,,Santos,2,0,Bahia,0,,Atlético MG,2,0,Vitória,0,,Fortaleza,36,38,8,12,18,36,54,-18
,,,,,,,,,,,,,,,,,,Grêmio,35,38,8,11,19,31,49,-18
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,51,38,15,6,17,37,41,-4
Ceará,2,1,Vasco,5,,Corinthians,1,0,Sport,4,,Internacional,3,0,Juventude,3,,Juventude,24,37,5,9,23,24,60,-36
Botafogo,1,0,São Paulo,0,,Vasco,1,2,Flamengo,0,,Mirassol,1,2,Atlético MG,0,,Mirassol,41,38,10,11,17,47,56,-9
Mirassol,1,2,Grêmio,0,,Grêmio,0,1,Internacional,0,,Ceará,0,2,São Paulo,0,,Palmeiras,93,38,28,9,1,89,32,57
Sport,0,1,Bragantino,5,,Juventude,1,2,Mirassol,0,,Sport,1,1,Fortaleza,3,,Santos,56,38,15,11,12,45,50,-5
Corinthians,0,0,Fluminense,0,,São Paulo,1,1,Santos,0,,Botafogo,1,0,Fluminense,3,,São Paulo,75,38,21,12,5,69,34,35
Internacional,1,1,Palmeiras,0,,Atlético MG,2,1,Botafogo,4,,Flamengo,3,2,Corinthians,3,,Sport,11,38,2,5,31,17,77,-60
