Rodada 1,,,,Acertos,,Rodada 2,,,,Acertos,,Rodada 3,,,,Acertos,,Classificação Willian,Pontos,PJ,V,E,D,GM,GS,Saldo de Gols
São Paulo,2,0,Sport,0,,Corinthians,3,0,Vasco,5,,Bragantino,1,2,Botafogo,0,,Atlético MG,46,38,13,7,18,42,43,-1
Cruzeiro,3,0,Mirassol,3,,Ceará,1,1,Grêmio,0,,Juventude,2,1,Ceará,5,,Bahia,60,38,16,12,10,51,41,10
Grêmio,1,1,Atlético MG,0,,Botafogo,2,0,Juventude,5,,Palmeiras,1,1,Corinthians,0,,Botafogo,59,38,16,11,11,41,26,15
Fortaleza,0,1,Fluminense,0,,Fluminense,2,1,Bragantino,5,,Vasco,1,0,Sport,3,,Bragantino,36,38,9,9,20,31,49,-18
Juventude,2,1,Vitória,3,,Atlético MG,1,0,São Paulo,0,,Bahia,3,0,Mirassol,0,,Ceará,45,38,12,9,17,36,46,-10
Flamengo,1,0,Internacional,0,,Mirassol,1,1,Fortaleza,5,,São Paulo,0,0,Cruzeiro,3,,Corinthians,50,38,13,11,14,41,36,5
Palmeiras,0,0,Botafogo,5,,Internacional,1,0,Cruzeiro,3,,Grêmio,0,2,Flamengo,5,,Cruzeiro,79,38,24,7,7,67,30,37
Vasco,1,0,Santos,4,,Vitória,0,2,Flamengo,3,,Fluminense,3,1,Santos,3,,Flamengo,90,38,28,6,4,70,16,54
Bahia,2,1,Corinthians,0,,Sport,1,3,Palmeiras,3,,Fortaleza,0,2,Internacional,0,,Fluminense,93,38,29,6,3,61,25,36
Bragantino,0,1,Ceará,0,,Santos,1,0,Bahia,0,,Atlético MG,3,0,Vitória,0,,Fortaleza,41,38,11,8,19,30,47,-17
,,,,,,,,,,,,,,,,,,Grêmio,45,38,10,15,13,37,42,-5
Rodada 4,,,,Acertos,,Rodada 5,,,,Acertos,,Rodada 6,,,,Acertos,,Internacional,46,38,12,10,16,41,46,-5
Ceará,2,1,Vasco,5,,Corinthians,3,1,Sport,3,,Internacional,2,0,Juventude,4,,Juventude,33,37,9,6,22,29,65,-36
Botafogo,0,0,São Paulo,3,,Vasco,0,4,Flamengo,0,,Mirassol,1,3,Atlético MG,0,,Mirassol,59,38,16,11,11,62,53,9
Mirassol,2,1,Grêmio,3,,Grêmio,0,2,Internacional,0,,Ceará,1,2,São Paulo,0,,Palmeiras,91,38,28,7,3,67,24,43
Sport,2,1,Bragantino,0,,Juventude,2,0,Mirassol,0,,Sport,2,1,Fortaleza,0,,Santos,43,38,12,7,19,35,48,-13
Corinthians,1,1,Fluminense,0,,São Paulo,1,0,Santos,4,,Botafogo,1,2,Fluminense,0,,São Paulo,47,38,10,17,11,38,40,-2
Internacional,1,0,Palmeiras,0,,Atlético MG,0,1,Botafogo,0,,Flamengo,1,0,Corinthians,3,,Sport,19,38,5,4,29,20,69,-49
Flamengo,3,1,Juventude,3,,Fluminense,2,0,Vitória,0,,Palmeiras,3,0,Bahia,0,,Vasco,34,38,9,7,22,35,61,-26
