rodada,time_casa,gols_casa,gols_fora,time_fora
1,Bahia,1,1,Corinthians
1,Bragantino,2,2,Ceará
1,Cruzeiro,2,1,Mirassol
1,Flamengo,1,1,Internacional
1,Fortaleza,2,0,Fluminense
1,Grêmio,2,1,Atlético MG
1,Juventude,2,0,Vitória
1,Palmeiras,0,0,Botafogo
1,São Paulo,0,0,Sport
1,Vasco,2,1,Santos
2,Atlético MG,0,0,São Paulo
2,Botafogo,2,0,Juventude
2,Ceará,2,0,Grêmio
2,Corinthians,3,0,Vasco
2,Fluminense,2,1,Bragantino
2,Internacional,3,0,Cruzeiro
2,Mirassol,1,1,Fortaleza
2,Santos,2,2,Bahia
2,Sport,1,2,Palmeiras
2,Vitória,1,2,Flamengo
3,Atlético MG,2,2,Vitória
3,Bahia,1,1,Mirassol
3,Bragantino,1,0,Botafogo
3,Fluminense,1,0,Santos
3,Fortaleza,0,0,Internacional
3,Grêmio,0,2,Flamengo
3,Juventude,2,1,Ceará
3,Palmeiras,2,0,Corinthians
3,São Paulo,1,1,Cruzeiro
3,Vasco,3,1,Sport
4,Botafogo,2,2,São Paulo
4,Ceará,2,1,Vasco
4,Corinthians,0,2,Fluminense
4,Cruzeiro,3,0,Bahia
4,Flamengo,6,0,Juventude
4,Internacional,0,1,Palmeiras
4,Mirassol,4,1,Grêmio
4,Santos,2,0,Atlético MG
4,Sport,0,1,Bragantino
4,Vitória,2,1,Fortaleza
5,Atlético MG,1,0,Botafogo
5,Bahia,1,0,Ceará
5,Bragantino,1,0,Cruzeiro
5,Corinthians,2,1,Sport
5,Fluminense,1,1,Vitória
5,Fortaleza,1,2,Palmeiras
5,Grêmio,1,1,Internacional
5,Juventude,2,2,Mirassol
5,São Paulo,2,1,Santos
5,Vasco,0,0,Flamengo
6,Botafogo,2,0,Fluminense
6,Ceará,1,1,São Paulo
6,Cruzeiro,1,0,Vasco
6,Flamengo,4,0,Corinthians
6,Internacional,3,1,Juventude
6,Mirassol,2,2,Atlético MG
