rodada,time_casa,time_fora,gols_casa,gols_fora
1,Bahia,Corinthians,1,1
1,Bragantino,Ceará,1,0
1,Cruzeiro,Mirassol,2,0
1,Flamengo,Internacional,2,1
1,Fortaleza,Fluminense,1,1
1,Grêmio,Atlético MG,2,2
1,Juventude,Vitória,1,0
1,Palmeiras,Botafogo,1,2
1,São Paulo,Sport,3,0
1,Vasco,Santos,0,0
2,Atlético MG,São Paulo,1,1
2,Botafogo,Juventude,3,1
2,Ceará,Grêmio,1,2
2,Corinthians,Vasco,2,0
2,Fluminense,Bragantino,2,0
2,Internacional,Cruzeiro,1,0
2,Mirassol,Fortaleza,0,1
2,Santos,Bahia,1,1
2,Sport,Palmeiras,0,2
2,Vitória,Flamengo,0,3
3,Atlético MG,Vitória,3,1
3,Bahia,Mirassol,3,1
3,Bragantino,Botafogo,0,1
3,Fluminense,Santos,2,0
3,Fortaleza,Internacional,2,2
3,Grêmio,Flamengo,1,1
3,Juventude,Ceará,2,2
3,Palmeiras,Corinthians,2,1
3,São Paulo,Cruzeiro,2,0
3,Vasco,Sport,2,1
4,Botafogo,São Paulo,1,1
4,Ceará,Vasco,2,1
4,Corinthians,Fluminense,2,2
4,Cruzeiro,Bahia,2,1
4,Flamengo,Juventude,2,0
4,Internacional,Palmeiras,3,1
4,Mirassol,Grêmio,1,1
4,Santos,Atlético MG,2,1
4,Sport,Bragantino,1,0
4,Vitória,Fortaleza,0,2
5,Atlético MG,Botafogo,1,1
5,Bahia,Ceará,1,1
5,Bragantino,Cruzeiro,2,2
5,Corinthians,Sport,2,0
5,Fluminense,Vitória,2,0
5,Fortaleza,Palmeiras,1,1
5,Grêmio,Internacional,1,2
5,Juventude,Mirassol,2,1
5,São Paulo,Santos,2,0
5,Vasco,Flamengo,1,3
6,Botafogo,Fluminense,2,2
6,Ceará,São Paulo,1,1
6,Cruzeiro,Vasco,1,2
6,Flamengo,Corinthians,3,1
6,Internacional,Juventude,3,0
6,Mirassol,Atlético MG,2,1
6,Palmeiras,Bahia,1,0
6,Santos,Bragantino,1,2
6,Sport,Fortaleza,0,2
6,Vitória,Grêmio,0,1
7,Bahia,Botafogo,1,1
7,Bragantino,Mirassol,2,1
7,Ceará,Vitória,1,0
7,Corinthians,Internacional,2,2
7,Cruzeiro,Flamengo,1,3
7,Fluminense,Sport,2,0
7,Grêmio,Santos,2,1
7,Juventude,Atlético MG,2,1
7,São Paulo,Fortaleza,1,1
7,Vasco,Palmeiras,0,2
8,Atlético MG,Fluminense,0,1
8,Botafogo,Internacional,1,2
8,Flamengo,Bahia,1,1
8,Fortaleza,Juventude,2,0
8,Grêmio,Bragantino,1,2
8,Mirassol,Corinthians,1,1
8,Palmeiras,São Paulo,1,1
8,Santos,Ceará,0,1
8,Sport,Cruzeiro,1,3
8,Vitória,Vasco,2,2
9,Bahia,Vitória,1,0
9,Bragantino,Palmeiras,0,1
9,Ceará,Sport,2,0
9,Corinthians,Santos,3,0
9,Cruzeiro,Atlético MG,1,2
9,Flamengo,Botafogo,1,1
9,Internacional,Mirassol,3,1
9,Juventude,Fluminense,2,1
9,São Paulo,Grêmio,1,1
9,Vasco,Fortaleza,1,3
10,Atlético MG,Corinthians,2,1
10,Botafogo,Ceará,3,1
10,Bragantino,Juventude,3,1
10,Fluminense,Vasco,1,1
10,Fortaleza,Cruzeiro,2,2
10,Grêmio,Bahia,0,2
10,Palmeiras,Flamengo,1,1
10,Sport,Internacional,0,2
10,São Paulo,Mirassol,2,1
10,Vitória,Santos,1,0
11,Bahia,São Paulo,2,0
11,Ceará,Atlético MG,1,1
11,Corinthians,Vitória,2,0
11,Cruzeiro,Palmeiras,2,2
11,Flamengo,Fortaleza,3,0
11,Internacional,Fluminense,2,1
11,Juventude,Grêmio,1,0
11,Mirassol,Sport,2,0
11,Santos,Botafogo,1,3
11,Vasco,Bragantino,2,1
12,Atlético MG,Internacional,2,2
12,Botafogo,Mirassol,3,0
12,Bragantino,Bahia,2,0
12,Fluminense,Ceará,2,1
12,Fortaleza,Santos,1,1
12,Grêmio,Corinthians,1,0
12,Palmeiras,Juventude,2,0
12,Sport,Flamengo,0,3
12,São Paulo,Vasco,2,1
12,Vitória,Cruzeiro,0,3
13,Bahia,Atlético MG,2,1
13,Corinthians,Bragantino,1,1
13,Cruzeiro,Grêmio,3,0
13,Flamengo,São Paulo,4,1
13,Fortaleza,Ceará,2,1
13,Internacional,Vitória,2,0
13,Juventude,Sport,2,0
13,Mirassol,Fluminense,3,2
13,Santos,Palmeiras,1,2
13,Vasco,Botafogo,0,1
14,Atlético MG,Sport,1,0
14,Bahia,Internacional,2,0
14,Botafogo,Vitória,3,0
14,Bragantino,São Paulo,2,1
14,Ceará,Corinthians,2,1
14,Fluminense,Cruzeiro,2,2
14,Grêmio,Fortaleza,2,1
14,Juventude,Vasco,0,2
14,Palmeiras,Mirassol,2,0
14,Santos,Flamengo,0,2
15,Cruzeiro,Juventude,3,0
15,Flamengo,Fluminense,2,0
15,Fortaleza,Bahia,1,0
15,Internacional,Ceará,2,0
15,Mirassol,Santos,2,1
15,Palmeiras,Atlético MG,3,1
15,Sport,Botafogo,0,2
15,São Paulo,Corinthians,1,1
15,Vasco,Grêmio,2,1
15,Vitória,Bragantino,0,1
16,Atlético MG,Fortaleza,3,1
16,Bragantino,Flamengo,1,1
16,Ceará,Mirassol,2,1
16,Corinthians,Cruzeiro,0,2
16,Fluminense,Palmeiras,1,1
16,Grêmio,Botafogo,1,1
16,Juventude,São Paulo,1,3
16,Santos,Internacional,2,1
16,Vasco,Bahia,2,1
16,Vitória,Sport,1,0
17,Bahia,Juventude,2,0
17,Botafogo,Corinthians,2,0
17,Cruzeiro,Ceará,4,0
17,Flamengo,Atlético MG,3,0
17,Fortaleza,Bragantino,1,2
17,Internacional,Vasco,2,2
17,Mirassol,Vitória,2,0
17,Palmeiras,Grêmio,1,0
17,Sport,Santos,1,1
17,São Paulo,Fluminense,1,1
18,Atlético MG,Bragantino,3,0
18,Botafogo,Cruzeiro,2,1
18,Ceará,Flamengo,0,2
18,Corinthians,Fortaleza,2,0
18,Fluminense,Grêmio,1,1
18,Internacional,São Paulo,2,1
18,Mirassol,Vasco,2,1
18,Santos,Juventude,2,0
18,Sport,Bahia,1,1
18,Vitória,Palmeiras,0,1
19,Bahia,Fluminense,1,0
19,Bragantino,Internacional,2,0
19,Cruzeiro,Santos,3,0
19,Flamengo,Mirassol,2,1
19,Fortaleza,Botafogo,1,0
19,Grêmio,Sport,2,0
19,Juventude,Corinthians,1,1
19,Palmeiras,Ceará,2,0
19,São Paulo,Vitória,3,1
19,Vasco,Atlético MG,2,0
20,Atlético MG,Grêmio,3,0
20,Botafogo,Palmeiras,2,1
20,Ceará,Bragantino,2,0
20,Corinthians,Bahia,1,1
20,Fluminense,Fortaleza,2,1
20,Internacional,Flamengo,1,2
20,Mirassol,Cruzeiro,2,2
20,Santos,Vasco,2,0
20,Sport,São Paulo,1,1
20,Vitória,Juventude,1,0
21,Bahia,Santos,1,0
21,Bragantino,Fluminense,1,1
21,Cruzeiro,Internacional,2,0
21,Flamengo,Vitória,4,0
21,Fortaleza,Mirassol,1,1
21,Grêmio,Ceará,2,2
21,Juventude,Botafogo,0,0
21,Palmeiras,Sport,3,0
21,São Paulo,Atlético MG,2,0
21,Vasco,Corinthians,2,1
22,Botafogo,Bragantino,2,0
22,Ceará,Juventude,2,1
22,Corinthians,Palmeiras,2,0
22,Cruzeiro,São Paulo,2,1
22,Flamengo,Grêmio,4,0
22,Internacional,Fortaleza,3,2
22,Mirassol,Bahia,2,1
22,Santos,Fluminense,1,1
22,Sport,Vasco,2,2
22,Vitória,Atlético MG,1,1
23,Atlético MG,Santos,1,1
23,Bahia,Cruzeiro,1,3
23,Bragantino,Sport,3,1
23,Fluminense,Corinthians,2,0
23,Fortaleza,Vitória,1,0
23,Grêmio,Mirassol,2,2
23,Juventude,Flamengo,0,2
23,Palmeiras,Internacional,2,0
23,São Paulo,Botafogo,1,1
23,Vasco,Ceará,1,0
24,Botafogo,Atlético MG,2,1
24,Ceará,Bahia,1,1
24,Cruzeiro,Bragantino,3,0
24,Flamengo,Vasco,4,1
24,Internacional,Grêmio,2,1
24,Mirassol,Juventude,3,0
24,Palmeiras,Fortaleza,2,0
24,Santos,São Paulo,0,1
24,Sport,Corinthians,2,2
24,Vitória,Fluminense,1,1
25,Atlético MG,Mirassol,0,1
25,Bahia,Palmeiras,1,3
25,Bragantino,Santos,2,1
25,Corinthians,Flamengo,1,3
25,Fluminense,Botafogo,2,2
25,Fortaleza,Sport,2,1
25,Grêmio,Vitória,2,0
25,Juventude,Internacional,1,1
25,São Paulo,Ceará,0,0
25,Vasco,Cruzeiro,0,2
26,Atlético MG,Juventude,1,1
26,Botafogo,Bahia,2,0
26,Flamengo,Cruzeiro,2,1
26,Fortaleza,São Paulo,1,1
26,Internacional,Corinthians,1,1
26,Mirassol,Bragantino,2,1
26,Palmeiras,Vasco,3,2
26,Santos,Grêmio,1,0
26,Sport,Fluminense,1,2
26,Vitória,Ceará,0,1
27,Bahia,Flamengo,0,2
27,Bragantino,Grêmio,1,1
27,Ceará,Santos,1,2
27,Corinthians,Mirassol,2,0
27,Cruzeiro,Sport,2,0
27,Fluminense,Atlético MG,2,1
27,Internacional,Botafogo,1,2
27,Juventude,Fortaleza,0,0
27,São Paulo,Palmeiras,0,2
27,Vasco,Vitória,3,1
28,Atlético MG,Cruzeiro,1,3
28,Botafogo,Flamengo,2,2
28,Fluminense,Juventude,3,1
28,Fortaleza,Vasco,1,1
28,Grêmio,São Paulo,0,1
28,Mirassol,Internacional,2,0
28,Palmeiras,Bragantino,3,1
28,Santos,Corinthians,1,2
28,Sport,Ceará,1,1
28,Vitória,Bahia,2,2
29,Bahia,Grêmio,1,0
29,Ceará,Botafogo,1,1
29,Corinthians,Atlético MG,2,1
29,Cruzeiro,Fortaleza,2,0
29,Flamengo,Palmeiras,2,1
29,Internacional,Sport,2,1
29,Juventude,Bragantino,1,1
29,Mirassol,São Paulo,2,0
29,Santos,Vitória,2,0
29,Vasco,Fluminense,2,1
30,Atlético MG,Ceará,1,1
30,Botafogo,Santos,1,0
30,Bragantino,Vasco,1,2
30,Fluminense,Internacional,2,1
30,Fortaleza,Flamengo,0,2
30,Grêmio,Juventude,2,0
30,Palmeiras,Cruzeiro,2,1
30,Sport,Mirassol,1,3
30,São Paulo,Bahia,1,0
30,Vitória,Corinthians,1,1
31,Bahia,Bragantino,2,1
31,Ceará,Fluminense,0,1
31,Corinthians,Grêmio,2,0
31,Cruzeiro,Vitória,2,0
31,Flamengo,Sport,4,1
31,Internacional,Atlético MG,1,1
31,Juventude,Palmeiras,0,3
31,Mirassol,Botafogo,2,1
31,Santos,Fortaleza,1,1
31,Vasco,São Paulo,2,1
32,Atlético MG,Bahia,1,1
32,Botafogo,Vasco,2,1
32,Bragantino,Corinthians,1,1
