rodada,time_casa,time_fora,gols_casa,gols_fora
1,Bahia,Corinthians,0.0,0.0
1,Bragantino,Ceará,0.0,0.0
1,Cruzeiro,Mirassol,1.0,0.0
1,Flamengo,Internacional,3.0,1.0
1,Fortaleza,Fluminense,3.0,2.0
1,Grêmio,Atlético MG,0.0,0.0
1,Juventude,Vitória,0.0,1.0
1,Palmeiras,Botafogo,2.0,0.0
1,São Paulo,Sport,2.0,1.0
1,Vasco,Santos,1.0,1.0
2,Atlético MG,São Paulo,2.0,2.0
2,Botafogo,Juventude,1.0,0.0
2,Ceará,Grêmio,0.0,0.0
2,Corinthians,Vasco,4.0,0.0
2,Fluminense,Bragantino,0.0,1.0
2,Internacional,Cruzeiro,3.0,1.0
2,Mirassol,Fortaleza,0.0,4.0
2,Santos,Bahia,1.0,1.0
2,Sport,Palmeiras,1.0,2.0
2,Vitória,Flamengo,0.0,2.0
3,Atlético MG,Vitória,2.0,0.0
3,Bahia,Mirassol,2.0,1.0
3,Bragantino,Botafogo,0.0,1.0
3,Fluminense,Santos,2.0,1.0
3,Fortaleza,Internacional,1.0,2.0
3,Grêmio,Flamengo,1.0,2.0
3,Juventude,Ceará,0.0,2.0
3,Palmeiras,Corinthians,2.0,1.0
3,São Paulo,Cruzeiro,2.0,0.0
3,Vasco,Sport,1.0,1.0
4,Botafogo,São Paulo,2.0,1.0
4,Ceará,Vasco,0.0,1.0
4,Corinthians,Fluminense,1.0,1.0
4,Cruzeiro,Bahia,3.0,2.0
4,Flamengo,Juventude,3.0,1.0
4,Internacional,Palmeiras,1.0,0.0
4,Mirassol,Grêmio,1.0,2.0
4,Santos,Atlético MG,0.0,0.0
4,Sport,Bragantino,0.0,0.0
4,Vitória,Fortaleza,2.0,1.0
5,Atlético MG,Botafogo,0.0,2.0
5,Bahia,Ceará,2.0,1.0
5,Bragantino,Cruzeiro,0.0,1.0
5,Corinthians,Sport,1.0,0.0
5,Fluminense,Vitória,2.0,0.0
5,Fortaleza,Palmeiras,0.0,1.0
5,Grêmio,Internacional,0.0,2.0
5,Juventude,Mirassol,2.0,1.0
5,São Paulo,Santos,1.0,1.0
5,Vasco,Flamengo,1.0,2.0
6,Botafogo,Fluminense,1.0,3.0
6,Ceará,São Paulo,2.0,1.0
6,Cruzeiro,Vasco,2.0,1.0
6,Flamengo,Corinthians,3.0,1.0
6,Internacional,Juventude,2.0,1.0
6,Mirassol,Atlético MG,2.0,2.0
6,Palmeiras,Bahia,2.0,1.0
6,Santos,Bragantino,1.0,1.0
