rodada,time_casa,time_fora,gols_casa,gols_fora
1,Bahia,Corinthians,2,1
1,Bragantino,Ceará,0,1
1,Cruzeiro,Mirassol,3,0
1,Flamengo,Internacional,1,0
1,Fortaleza,Fluminense,0,1
1,Grêmio,Atlético MG,1,1
1,Juventude,Vitória,2,1
1,Palmeiras,Botafogo,0,0
1,São Paulo,Sport,2,0
1,Vasco,Santos,1,0
2,Atlético MG,São Paulo,1,0
2,Botafogo,Juventude,2,0
2,Ceará,Grêmio,1,1
2,Corinthians,Vasco,3,0
2,Fluminense,Bragantino,2,1
2,Internacional,Cruzeiro,1,0
2,Mirassol,Fortaleza,1,1
2,Santos,Bahia,1,0
2,Sport,Palmeiras,1,3
2,Vitória,Flamengo,0,2
3,Atlético MG,Vitória,3,0
3,Bahia,Mirassol,3,0
3,Bragantino,Botafogo,1,2
3,Fluminense,Santos,3,1
3,Fortaleza,Internacional,0,2
3,Grêmio,Flamengo,0,2
3,Juventude,Ceará,2,1
3,Palmeiras,Corinthians,1,1
3,São Paulo,Cruzeiro,0,0
3,Vasco,Sport,1,0
4,Botafogo,São Paulo,0,0
4,Ceará,Vasco,2,1
4,Corinthians,Fluminense,1,1
4,Cruzeiro,Bahia,2,2
4,Flamengo,Juventude,3,1
4,Internacional,Palmeiras,1,0
4,Mirassol,Grêmio,2,1
4,Santos,Atlético MG,0,2
4,Sport,Bragantino,2,1
4,Vitória,Fortaleza,1,0
5,Atlético MG,Botafogo,0,1
5,Bahia,Ceará,2,1
5,Bragantino,Cruzeiro,1,1
5,Corinthians,Sport,3,1
5,Fluminense,Vitória,2,0
5,Fortaleza,Palmeiras,0,1
5,Grêmio,Internacional,0,2
5,Juventude,Mirassol,2,0
5,São Paulo,Santos,1,0
5,Vasco,Flamengo,0,4
6,Botafogo,Fluminense,1,2
6,Ceará,São Paulo,1,2
6,Cruzeiro,Vasco,2,1
6,Flamengo,Corinthians,1,0
6,Internacional,Juventude,2,0
6,Mirassol,Atlético MG,1,3
6,Palmeiras,Bahia,3,0
6,Santos,Bragantino,0,0
6,Sport,Fortaleza,2,1
6,Vitória,Grêmio,1,1
7,Bahia,Botafogo,2,0
7,Bragantino,Mirassol,2,1
7,Ceará,Vitória,1,0
7,Corinthians,Internacional,2,2
7,Cruzeiro,Flamengo,1,3
7,Fluminense,Sport,2,1
7,Grêmio,Santos,2,1
7,Juventude,Atlético MG,2,1
7,São Paulo,Fortaleza,1,0
7,Vasco,Palmeiras,0,2
8,Atlético MG,Fluminense,1,1
8,Botafogo,Internacional,2,1
8,Flamengo,Bahia,4,1
8,Fortaleza,Juventude,2,0
8,Grêmio,Bragantino,1,0
8,Mirassol,Corinthians,1,3
8,Palmeiras,São Paulo,1,0
8,Santos,Ceará,2,2
8,Sport,Cruzeiro,0,3
8,Vitória,Vasco,2,1
9,Bahia,Vitória,0,0
9,Bragantino,Palmeiras,0,1
9,Ceará,Sport,2,0
9,Corinthians,Santos,2,1
9,Cruzeiro,Atlético MG,3,1
9,Flamengo,Botafogo,0,0
9,Internacional,Mirassol,1,1
9,Juventude,Fluminense,2,2
9,São Paulo,Grêmio,1,1
9,Vasco,Fortaleza,2,0
10,Atlético MG,Corinthians,1,1
10,Botafogo,Ceará,2,0
10,Bragantino,Juventude,4,0
10,Fluminense,Vasco,2,1
10,Fortaleza,Cruzeiro,1,3
10,Grêmio,Bahia,1,0
10,Palmeiras,Flamengo,1,0
10,Sport,Internacional,2,1
10,São Paulo,Mirassol,2,2
10,Vitória,Santos,0,1
11,Bahia,São Paulo,2,2
11,Ceará,Atlético MG,2,0
11,Corinthians,Vitória,3,0
11,Cruzeiro,Palmeiras,0,2
11,Flamengo,Fortaleza,3,0
11,Internacional,Fluminense,1,2
11,Juventude,Grêmio,1,1
11,Mirassol,Sport,3,1
11,Santos,Botafogo,0,2
11,Vasco,Bragantino,0,0
12,Atlético MG,Internacional,1,2
12,Botafogo,Mirassol,1,2
12,Bragantino,Bahia,1,0
12,Fluminense,Ceará,2,0
12,Fortaleza,Santos,1,1
12,Grêmio,Corinthians,1,0
12,Palmeiras,Juventude,1,0
12,Sport,Flamengo,0,2
12,São Paulo,Vasco,2,0
12,Vitória,Cruzeiro,1,2
13,Bahia,Atlético MG,2,1
13,Corinthians,Bragantino,0,1
13,Cruzeiro,Grêmio,1,0
13,Flamengo,São Paulo,0,0
13,Fortaleza,Ceará,0,2
13,Internacional,Vitória,2,0
13,Juventude,Sport,2,1
13,Mirassol,Fluminense,1,2
13,Santos,Palmeiras,1,2
13,Vasco,Botafogo,1,1
14,Atlético MG,Sport,1,0
14,Bahia,Internacional,2,0
14,Botafogo,Vitória,2,0
14,Bragantino,São Paulo,1,0
14,Ceará,Corinthians,1,0
14,Fluminense,Cruzeiro,2,1
14,Grêmio,Fortaleza,1,1
14,Juventude,Vasco,2,1
14,Palmeiras,Mirassol,3,1
14,Santos,Flamengo,0,2
15,Cruzeiro,Juventude,3,0
15,Flamengo,Fluminense,0,1
15,Fortaleza,Bahia,2,1
15,Internacional,Ceará,1,1
15,Mirassol,Santos,2,1
15,Palmeiras,Atlético MG,0,0
15,Sport,Botafogo,0,4
15,São Paulo,Corinthians,3,1
15,Vasco,Grêmio,2,1
15,Vitória,Bragantino,0,1
16,Atlético MG,Fortaleza,2,0
16,Bragantino,Flamengo,1,1
16,Ceará,Mirassol,2,2
